Id,Designator,Package,Quantity,Designation,Supplier and ref
12,"C1,C2,C3,C4,C8,C9,C10,C11,C12",Ceramic Capacitor,9,100n,https://www.rapidonline.com/suntan-ts170r2a104ksbba0r-0-1uf-10-100v-x7r-2-54mm-radial-ceramic-capacitor-11-3442
2,"C6,C5,C7",Electrolytic capacitor 16v or more,3,10uf,https://www.rapidonline.com/forever-10uf-20-35v-105-c-p-2mm-radial-electrolytic-capacitor-11-1220
58,"C13,C14,C15,C16,C17,C18,C19,C20",Electrolytic capacitor 16v or more,8,4.7uf,https://www.rapidonline.com/forever-4-7uf-20-50v-85-c-5mm-micro-miniature-radial-aluminium-electrolytic-11-1522
3,"D36,D38,D39,D40,D41,D24,D26,D27,D28,D29,D1,D2,D3,D4,D6,D7,D8,D9,D11,D12,D13,D14,D16,D17,D18,D19,D21,D22,D23,D33,D34,D35,D48,D49,D51,D30,D31",1n4148 Diode,37,D,https://www.rapidonline.com/dc-components-1n4148-signal-diode-75v-150ma-47-3416
5,"J2,J6,J9",10 pin terminal pin headers Female,2,Conn,https://www.rapidonline.com/bkl-10120600-1-x-10-pin-header-1-27mm-pitch-1a-gold-plated-50-8062
6,J3 ,10 pin low profile SMT pin header,1,,https://www.rapidonline.com/fischer-sl-lp-5-smd-051-20-s-male-header-1x20-horizontal-2-54mm-au-5-1mm-pins-54-4007
7,"J7,J10",10 pin Terminal Pin Header Male,2,,https://www.rapidonline.com/bkl-10120506-1-x-10-pin-header-2-54mm-pitch-3a-gold-plated-50-8081
,J2,10 Pin low profile SMT header Female,1,,https://www.rapidonline.com/fischer-bl-lp-1-36-z-low-profile-fork-cont-female-header-1x36-vertical-2-54-sn-54-4556
4,"FB1,FB2",10r MetalFilm Resistor,2,10R,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
9,"R1,R3,R5,R7,R8,R9,R11,R12,R13,R20,R22,R28,R30,R31,R36,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R52,R54,R56,R57",1k Metal Film Resistor,32,1k,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
10,"R2,R4,R6,R10,R14,R23,R32,R37",10M Metal Film Resistor (for capacitive circuit),8,capacitiveM,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
57,R53,10M Metal Film Resistor,1,10M,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
13,"R15,R18,R26,R33",100k Metal Film Resistor,4,100k,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
14,"R16,R21,R27,R34",1M Metal Film Resistor,4,1M,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
15,"R17,R24,R25,R29,R35,R58,R19,R51,R55,R59,R60,R61,R62,R63,R64",10k Metal Film Resistor,15,10k,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
16,"U1,U2,U3",TL074 QUAD OPAMP,3,TL074,https://www.rapidonline.com/Catalogue/Search?Query=TL074&Size=20
11,A1,Arduino_Nano,1,,https://www.rapidonline.com/arduino-nano-a000005-board-v3-73-4448
17,U4,TO-92_Inline_Wide,1,L78L05_TO92,https://www.rapidonline.com/trusemi-da78l05-voltage-regulator-5v-100ma-to92-47-3612
18,U5,4066 SWITCH,1,4066,https://www.ebay.co.uk/itm/362403970297?hash=item5460f5bcf9:g:5ekAAOSwV3pbYw1Y
19,"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9",TO-92_Inline_Wide 2n3904 transistor,8,2N3904,https://www.rapidonline.com/trusemi-2n3904-transistor-npn-to92-60v-81-0484
20,"D5,D10,D15,D20,D25,D32,D37,D42,D43,D44,D45,D50",LED_D5.0mm,12,5MM LED,https://www.rapidonline.com/Catalogue/Search?Query=5mm%20LED&Size=20
30,"RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9,RV10,RV11,RV12,RV13,RV14,RV15,RV16",Potentiometer_Alps_RK09K_Single_Vertical,16,B100K,https://www.thonk.co.uk/shop/alpha-9mm-pots/
45,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8",SPDT SWITCH ON-OFF-ON,8,,https://www.rapidonline.com/salecom-t8014-sebq-h-spdt-on-off-on-min-toggle-switch-75-0084
53,"SW10,SW11",SPDT SWITCH (ON)-OFF-(ON),1,zerorst,https://www.rapidonline.com/salecom-t8014a-sebq-h-spdt-on-off-on-sprung-min-toggle-switch-75-0086
,Jack Socket,Big Momma Jack Sockets 6.35mm,17,,https://www.rapidonline.com/truconnect-3-pole-box-style-jack-socket-20-1397
,J15,Eurorack Style Power Connector,1,,https://www.rapidonline.com/truconnect-10-way-idc-straight-boxed-header-2-54mm-pitch-19-0033
,SOCKET FOR ARDUINO ,This socket is 2 legs too long I just bend one set of legs off,—->,,https://www.rapidonline.com/truconnect-32-pin-dil-socket-15-24mm-no-central-support-tube-of-15-22-0116
,SOCKETS FOR OTHER IC’s,,,,https://www.rapidonline.com/truconnect-14-pin-dil-socket-7-62mm-no-central-support-tube-of-34-22-0108