"Source:","E:\synth prj\MSK-013\complexvco.kicad_sch"
"Date:","14.10.2022 17:26:25"
"Tool:","Eeschema (6.0.6)"
"Generator:","E:\KICAD\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","284"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Voltage"
"","","C1","0.1uF","mskala:C","mskala:C3msk","",""
"","","C2","0.1uF","mskala:C","mskala:C3msk","",""
"","","C3","0.1uF","mskala:C","mskala:C3msk","",""
"","","C4","0.1uF","mskala:C","mskala:C3msk","",""
"","","C5","1200pF","mskala:C","mskala:C2msk","",""
"","","C6","0.1uF","mskala:C","mskala:C3msk","",""
"","","C7","0.1uF","mskala:C","mskala:C3msk","",""
"","","C8","0.1uF","mskala:C","mskala:C3msk","",""
"","","C9","0.1uF","mskala:C","mskala:C3msk","",""
"","","C10","100pF","mskala:C","mskala:C2msk","",""
"","","C11","100pF","mskala:C","mskala:C2msk","",""
"","","C12","100pF","mskala:C","mskala:C2msk","",""
"","","C13","0.1uF","mskala:C","mskala:C3msk","",""
"","","C14","0.1uF","mskala:C","mskala:C3msk","",""
"","","C15","6800pF","mskala:C","mskala:C2msk","",""
"","","C16","6800pF","mskala:C","mskala:C2msk","",""
"","","C17","0.1uF","mskala:C","mskala:C3msk","",""
"","","C18","0.1uF","mskala:C","mskala:C3msk","",""
"","","C19","1200pF","mskala:C","mskala:C2msk","",""
"","","C20","0.1uF","mskala:C","mskala:C3msk","",""
"","","C21","0.1uF","mskala:C","mskala:C3msk","",""
"","","C22","0.1uF","mskala:C","mskala:C3msk","",""
"","","C23","0.1uF","mskala:C","mskala:C3msk","",""
"","","C24","100pF","mskala:C","mskala:C2msk","",""
"","","C25","100pF","mskala:C","mskala:C2msk","",""
"","","C26","100pF","mskala:C","mskala:C2msk","",""
"","","C27","0.1uF","mskala:C","mskala:C3msk","",""
"","","C28","0.1uF","mskala:C","mskala:C3msk","",""
"","","C29","10uF","mskala:CP1","mskala:C1V7msk","~",""
"","","C30","10uF","mskala:CP1","mskala:C1V7msk","~",""
"","","C31","10uF","mskala:CP1","mskala:C1V7msk","~",""
"","","C32","0.1uF","mskala:C","mskala:C3msk","",""
"","","C33","0.1uF","mskala:C","mskala:C3msk","",""
"","","C34","0.1uF","mskala:C","mskala:C3msk","",""
"","","C35","0.1uF","mskala:C","mskala:C3msk","",""
"","","C36","0.1uF","mskala:C","mskala:C3msk","",""
"","","C37","0.1uF","mskala:C","mskala:C3msk","",""
"","","C38","0.1uF","mskala:C","mskala:C3msk","",""
"","","C39","100pF","mskala:C","mskala:C2msk","",""
"","","C40","100pF","mskala:C","mskala:C2msk","",""
"","","C41","100pF","mskala:C","mskala:C2msk","",""
"","","D1","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D2","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D3","1N4148","mskala:DIODE","mskala:DO35_3msk","",""
"","","D4","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D5","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D6","1N5818","mskala:DIODESCH","mskala:DO15msk","",""
"","","D7","1N5818","mskala:DIODESCH","mskala:DO15msk","",""
"","","D8","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D9","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D10","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","H1","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H2","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H3","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H4","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H5","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H6","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H7","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H8","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H9","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H10","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H11","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H12","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H13","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H14","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H15","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H16","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H17","nylon","mskala:Washer","mskala:Hardware","",""
"","","H18","nylon","mskala:Washer","mskala:Hardware","",""
"","","H19","nylon","mskala:Washer","mskala:Hardware","",""
"","","H20","nylon","mskala:Washer","mskala:Hardware","",""
"","","H21","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"","","H22","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"","","H23","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"","","H24","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"","","H25","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"","","H26","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"","","H27","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"","","H28","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"","","H29","M3","mskala:HexNut","mskala:Hardware","",""
"","","H30","M3","mskala:HexNut","mskala:Hardware","",""
"","","H31","M3","mskala:HexNut","mskala:Hardware","",""
"","","H32","M3","mskala:HexNut","mskala:Hardware","",""
"","","J1","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J2","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J3","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J4","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J5","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J6","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J7","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J8","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J9","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J10","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J11","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J12","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J13","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J14","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J15","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J16","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J17","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J18","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J19","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J20","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J21","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-socket","",""
"","","J22","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-socket","",""
"","","J23","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-socket","",""
"","","J24","JUMP","mskala:SWITCH_INV","mskala:SPDTjright","",""
"","","J25","JUMP","mskala:SWITCH_INV","mskala:SPDTjright","",""
"","","P1","CONN_02X08","mskala:CONN_02X08","mskala:2x08ra","~",""
"","","P2","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-pins","",""
"","","P3","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-pins","",""
"","","P4","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-pins","",""
"","","Q1","THAT320","mskala:THAT320","mskala:DIP14msk","",""
"","","Q2","2N7000","mskala:2N7000","mskala:TO92Xmsk","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf",""
"","","Q3","2N7000","mskala:2N7000","mskala:TO92Xmsk","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf",""
"","","Q4","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q5","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q6","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q7","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q8","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q9","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q10","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q11","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q12","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q13","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q14","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q15","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q16","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","R1","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R2","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R3","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R4","91k","mskala:RUS","mskala:R4valmsk","",""
"","","R5","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R6","1.8M","mskala:RUS","mskala:R4valmsk","",""
"","","R7","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R8","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R9","130k","mskala:RUS","mskala:R4valmsk","",""
"","","R10","50k","mskala:POTUS","mskala:3296Pmsk","",""
"","","R11","270","mskala:RUS","mskala:R4valmsk","",""
"","","R12","100","mskala:RUS","mskala:R4valmsk","",""
"","","R13","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R14","8.2k","mskala:RUS","mskala:R4valmsk","",""
"","","R15","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R16","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R17","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R18","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R19","10k","mskala:RUS","mskala:R4valmsk","",""
"","","R20","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R21","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R22","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R23","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R24","24k","mskala:RUS","mskala:R4valmsk","",""
"","","R25","10k","mskala:POTUS","mskala:3386Pmsk","",""
"","","R26","36k","mskala:RUS","mskala:R4valmsk","",""
"","","R27","12k","mskala:RUS","mskala:R4valmsk","",""
"","","R28","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R29","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R30","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R31","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R32","56k","mskala:RUS","mskala:R4valmsk","",""
"","","R33","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R34","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R35","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R36","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R37","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R38","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R39","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R40","91k","mskala:RUS","mskala:R4valmsk","",""
"","","R41","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R42","1.8M","mskala:RUS","mskala:R4valmsk","",""
"","","R43","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R44","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R45","130k","mskala:RUS","mskala:R4valmsk","",""
"","","R46","50k","mskala:POTUS","mskala:3296Pmsk","",""
"","","R47","270","mskala:RUS","mskala:R4valmsk","",""
"","","R48","100","mskala:RUS","mskala:R4valmsk","",""
"","","R49","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R50","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R51","10k","mskala:RUS","mskala:R4valmsk","",""
"","","R52","8.2k","mskala:RUS","mskala:R4valmsk","",""
"","","R53","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R54","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R55","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R56","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R57","10k","mskala:RUS","mskala:R4valmsk","",""
"","","R58","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R59","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R60","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R61","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R62","24k","mskala:RUS","mskala:R4valmsk","",""
"","","R63","10k","mskala:POTUS","mskala:3386Pmsk","",""
"","","R64","36k","mskala:RUS","mskala:R4valmsk","",""
"","","R65","12k","mskala:RUS","mskala:R4valmsk","",""
"","","R66","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R67","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R68","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R69","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R70","56k","mskala:RUS","mskala:R4valmsk","",""
"","","R71","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R72","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R73","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R74","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R75","270","mskala:RUS","mskala:R4valmsk","",""
"","","R76","100","mskala:RUS","mskala:R4valmsk","",""
"","","R77","10k","mskala:RUS","mskala:R4valmsk","",""
"","","R78","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R79","270","mskala:RUS","mskala:R4valmsk","",""
"","","R80","100","mskala:RUS","mskala:R4valmsk","",""
"","","R81","1M","mskala:RUS","mskala:R4valmsk","",""
"","","R82","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R83","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R84","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R85","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R86","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R87","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R88","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R89","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R90","68k","mskala:RUS","mskala:R4valmsk","",""
"","","R91","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R92","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R93","680","mskala:RUS","mskala:R4valmsk","",""
"","","R94","680","mskala:RUS","mskala:R4valmsk","",""
"","","R95","680","mskala:RUS","mskala:R4valmsk","",""
"","","R96","680","mskala:RUS","mskala:R4valmsk","",""
"","","R97","680","mskala:RUS","mskala:R4valmsk","",""
"","","R98","680","mskala:RUS","mskala:R4valmsk","",""
"","","R99","680","mskala:RUS","mskala:R4valmsk","",""
"","","R100","680","mskala:RUS","mskala:R4valmsk","",""
"","","R101","680","mskala:RUS","mskala:R4valmsk","",""
"","","R102","680","mskala:RUS","mskala:R4valmsk","",""
"","","R103","680","mskala:RUS","mskala:R4valmsk","",""
"","","R104","680","mskala:RUS","mskala:R4valmsk","",""
"","","R105","680","mskala:RUS","mskala:R4valmsk","",""
"","","R106","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R107","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R108","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R109","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R110","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R111","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R112","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R113","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R114","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R115","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R116","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R117","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R118","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R119","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R120","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R121","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R122","22k","mskala:RUS","mskala:R4valmsk","",""
"","","R123","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R124","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R125","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R126","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R127","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R128","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R129","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R130","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R131","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R132","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R133","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R134","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R135","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R136","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R137","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R138","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R139","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R140","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R141","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R142","1k","mskala:RUS","mskala:R4valmsk","",""
"","","S1","SWITCH_INV","mskala:SWITCH_INV","mskala:ESwitch100SP","",""
"","","U1","TL074","mskala:QuadOpAmp_v6","mskala:DIP14msk","http://www.ti.com/lit/ds/symlink/tlc074.pdf",""
"","","U2","TL074","mskala:QuadOpAmp_v6","mskala:DIP14msk","http://www.ti.com/lit/ds/symlink/tlc074.pdf",""
"","","U3","TL074","mskala:QuadOpAmp_v6","mskala:DIP14msk","http://www.ti.com/lit/ds/symlink/tlc074.pdf",""
"","","U4","TL074","mskala:QuadOpAmp_v6","mskala:DIP14msk","http://www.ti.com/lit/ds/symlink/tlc074.pdf",""
"","","U5","TL074","mskala:QuadOpAmp_v6","mskala:DIP14msk","http://www.ti.com/lit/ds/symlink/tlc074.pdf",""
"","","U6","AD633","mskala:AD633","mskala:DIP08msk","",""
"","","U7","AD633","mskala:AD633","mskala:DIP08msk","",""
"","","U8","LF353","mskala:DualOpAmp_v6","mskala:DIP08msk","ns/lm158.pdf",""
"","","U9","LF353","mskala:DualOpAmp_v6","mskala:DIP08msk","ns/lm158.pdf",""
"","","U10","LF353","mskala:DualOpAmp_v6","mskala:DIP08msk","ns/lm158.pdf",""
"","","U11","LM13700","mskala:LM13700_v6","mskala:DIP16msk","",""
"","","U12","LM13700","mskala:LM13700_v6","mskala:DIP16msk","",""
"","","U13","78L09","mskala:78L05","mskala:TO92msk","http://www.fairchildsemi.com/ds/LM/LM78L05A.pdf",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Voltage"
"1","25","C1, C2, C3, C4, C6, C7, C8, C9, C13, C14, C17, C18, C20, C21, C22, C23, C27, C28, C32, C33, C34, C35, C36, C37, C38","0.1uF","mskala:C","mskala:C3msk","",""
"2","2","C5, C19","1200pF","mskala:C","mskala:C2msk","",""
"3","9","C10, C11, C12, C24, C25, C26, C39, C40, C41","100pF","mskala:C","mskala:C2msk","",""
"4","2","C15, C16","6800pF","mskala:C","mskala:C2msk","",""
"5","3","C29, C30, C31","10uF","mskala:CP1","mskala:C1V7msk","~",""
"6","7","D1, D2, D4, D5, D8, D9, D10","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"7","1","D3","1N4148","mskala:DIODE","mskala:DO35_3msk","",""
"8","2","D6, D7","1N5818","mskala:DIODESCH","mskala:DO15msk","",""
"9","8","H1, H2, H3, H4, H5, H6, H7, H8","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"10","8","H9, H10, H11, H12, H13, H14, H15, H16","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"11","4","H17, H18, H19, H20","nylon","mskala:Washer","mskala:Hardware","",""
"12","4","H21, H22, H23, H24","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"13","4","H25, H26, H27, H28","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"14","4","H29, H30, H31, H32","M3","mskala:HexNut","mskala:Hardware","",""
"15","20","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"16","3","J21, J22, J23","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-socket","",""
"17","2","J24, J25","JUMP","mskala:SWITCH_INV","mskala:SPDTjright","",""
"18","1","P1","CONN_02X08","mskala:CONN_02X08","mskala:2x08ra","~",""
"19","3","P2, P3, P4","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-pins","",""
"20","1","Q1","THAT320","mskala:THAT320","mskala:DIP14msk","",""
"21","2","Q2, Q3","2N7000","mskala:2N7000","mskala:TO92Xmsk","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf",""
"22","13","Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16","2N3904","mskala:2N3904","mskala:TO92msk","",""
"23","24","R1, R2, R8, R33, R35, R37, R38, R44, R71, R73, R84, R86, R88, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R140","100k","mskala:RUS","mskala:R4valmsk","",""
"24","11","R3, R5, R7, R34, R39, R41, R43, R72, R85, R87, R89","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"25","2","R4, R40","91k","mskala:RUS","mskala:R4valmsk","",""
"26","2","R6, R42","1.8M","mskala:RUS","mskala:R4valmsk","",""
"27","2","R9, R45","130k","mskala:RUS","mskala:R4valmsk","",""
"28","2","R10, R46","50k","mskala:POTUS","mskala:3296Pmsk","",""
"29","4","R11, R47, R75, R79","270","mskala:RUS","mskala:R4valmsk","",""
"30","4","R12, R48, R76, R80","100","mskala:RUS","mskala:R4valmsk","",""
"31","7","R13, R22, R49, R50, R60, R78, R82","6.8k","mskala:RUS","mskala:R4valmsk","",""
"32","2","R14, R52","8.2k","mskala:RUS","mskala:R4valmsk","",""
"33","8","R15, R17, R18, R21, R53, R55, R56, R59","2.7k","mskala:RUS","mskala:R4valmsk","",""
"34","8","R16, R54, R125, R126, R132, R133, R137, R138","39k","mskala:RUS","mskala:R4valmsk","",""
"35","4","R19, R51, R57, R77","10k","mskala:RUS","mskala:R4valmsk","",""
"36","14","R20, R23, R31, R36, R58, R61, R69, R74, R83, R127, R134, R139, R141, R142","1k","mskala:RUS","mskala:R4valmsk","",""
"37","2","R24, R62","24k","mskala:RUS","mskala:R4valmsk","",""
"38","2","R25, R63","10k","mskala:POTUS","mskala:3386Pmsk","",""
"39","2","R26, R64","36k","mskala:RUS","mskala:R4valmsk","",""
"40","2","R27, R65","12k","mskala:RUS","mskala:R4valmsk","",""
"41","10","R28, R29, R30, R66, R67, R68, R91, R92, R120, R121","27k","mskala:RUS","mskala:R4valmsk","",""
"42","2","R32, R70","56k","mskala:RUS","mskala:R4valmsk","",""
"43","1","R81","1M","mskala:RUS","mskala:R4valmsk","",""
"44","1","R90","68k","mskala:RUS","mskala:R4valmsk","",""
"45","13","R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105","680","mskala:RUS","mskala:R4valmsk","",""
"46","12","R116, R117, R118, R119, R123, R124, R128, R129, R130, R131, R135, R136","18k","mskala:RUS","mskala:R4valmsk","",""
"47","1","R122","22k","mskala:RUS","mskala:R4valmsk","",""
"48","1","S1","SWITCH_INV","mskala:SWITCH_INV","mskala:ESwitch100SP","",""
"49","5","U1, U2, U3, U4, U5","TL074","mskala:QuadOpAmp_v6","mskala:DIP14msk","http://www.ti.com/lit/ds/symlink/tlc074.pdf",""
"50","2","U6, U7","AD633","mskala:AD633","mskala:DIP08msk","",""
"51","3","U8, U9, U10","LF353","mskala:DualOpAmp_v6","mskala:DIP08msk","ns/lm158.pdf",""
"52","2","U11, U12","LM13700","mskala:LM13700_v6","mskala:DIP16msk","",""
"53","1","U13","78L09","mskala:78L05","mskala:TO92msk","http://www.fairchildsemi.com/ds/LM/LM78L05A.pdf",""
